department_id,department_name,created_at
1,College of Electrical Engineering,2026-03-12 22:18:04
2,College of Arts & Sciences,2026-03-12 22:18:33
3,College of Nursing,2026-04-15 08:00:00
4,College of Information Technology,2026-04-15 08:00:00
5,College of Business and Accountancy,2026-04-15 08:00:00
6,College of International Hospitality Management,2026-04-15 08:00:00
7,College of Education,2026-04-15 08:00:00
8,College of Engineering,2026-05-01 18:14:51
10,College of Computer Studies,2026-05-01 18:14:51
15,Registrar's Office,2026-05-01 18:14:52
16,Accounting Office,2026-05-01 18:14:52
17,Human Resources,2026-05-01 18:14:52
18,MIS Office,2026-05-01 18:14:52
19,Library,2026-05-01 18:14:52
