log_id,user_id,event_id,timestamp,log_type
1,5,3,2026-04-15 21:10:55,Entry
2,5,4,2026-04-15 21:33:04,Entry
3,5,4,2026-04-15 21:33:11,Exit
4,5,4,2026-04-15 21:35:00,Entry
5,5,4,2026-04-15 21:35:06,Exit
6,45,8,2026-05-01 23:00:26,Entry
7,44,8,2026-05-01 23:00:33,Entry
8,38,8,2026-05-01 23:01:33,Entry
9,44,8,2026-05-01 23:01:39,Exit
10,38,8,2026-05-01 23:01:47,Exit
11,44,8,2026-05-01 23:01:53,Entry
12,44,8,2026-05-01 23:02:02,Exit
13,44,8,2026-05-01 23:22:17,Entry
14,29,8,2026-05-01 23:22:25,Entry
15,29,9,2026-05-02 16:15:35,Entry
16,29,9,2026-05-02 16:15:42,Exit
17,23,11,2026-05-08 12:31:08,Entry
18,23,11,2026-05-08 12:31:16,Exit
19,24,12,2026-05-08 12:37:01,Entry
20,26,12,2026-05-08 12:38:36,Entry
21,27,12,2026-05-08 12:48:52,Entry
22,23,13,2026-05-08 13:36:16,Entry
23,29,15,2026-05-16 21:34:56,Entry
24,30,16,2026-05-21 12:54:58,Entry
