user_id,role,active
1,student,1
2,student,1
3,student,1
4,employee,0
5,employee,1
6,visitor,1
7,student,1
8,student,1
9,student,1
10,employee,1
11,employee,1
12,visitor,1
13,student,1
14,student,1
15,student,1
16,employee,1
17,employee,1
18,visitor,1
19,student,1
21,admin,1
22,student,1
23,employee,1
24,employee,1
25,employee,1
26,employee,1
27,employee,1
28,visitor,0
29,employee,1
30,employee,1
31,employee,1
32,employee,1
33,employee,1
34,employee,1
35,employee,1
36,visitor,0
37,visitor,0
38,employee,1
39,student,1
40,student,1
41,student,1
42,student,1
43,student,1
44,employee,1
45,employee,1
46,employee,1
47,employee,1
48,student,0
49,employee,1
50,employee,1
51,employee,1
52,student,1
53,student,1
54,student,1
55,student,1
56,student,1
57,student,1
58,student,1
59,student,1
60,student,1
61,student,1
62,student,1
63,student,1
64,student,1
65,student,1
66,student,1
67,student,1
68,student,1
69,student,1
70,student,1
71,student,1
72,student,1
73,student,1
74,student,1
75,student,1
76,student,1
77,student,1
78,student,1
79,student,1
80,student,1
81,student,1
82,student,1
83,student,1
84,student,1
85,student,1
86,student,1
87,visitor,0
88,visitor,0
89,visitor,0
90,visitor,0
91,visitor,0
92,visitor,0
93,visitor,0
94,visitor,0
95,visitor,0
96,visitor,0
97,visitor,0
98,visitor,0
99,visitor,0
100,visitor,0
101,visitor,0
102,visitor,0
103,visitor,0
104,visitor,0
105,employee,0
106,employee,0
107,employee,0
108,employee,1
109,visitor,1
110,student,1
111,employee,1
